product_id,product_name,product_category,manufacturing_city,size,weight_kg,retail_price,cost_price,sku_code,supplier,is_active,stock_quantity
717889,4K Smart TV Mini,Electronics,Mexico City,One Size,0.45,49.99,23.74,SKU-30484,ValueChain Partners,1,982
391704,Green Tea Pack Standard,Grocery,Guangzhou,XL,2.42,199.99,112.51,SKU-19776,FastShip Ltd,1,346
948749,Matte Lipstick Plus,Beauty,Los Angeles,XS,3.38,14.99,3.27,SKU-44281,Global Supply Co.,0,116
106814,Water Guns Ultra,Toys & Games,Seoul,XXL,4.16,19.99,7.48,SKU-86680,Global Supply Co.,1,74
895667,Smart Watch Plus,Electronics,Los Angeles,M,5.33,299.99,133.65,SKU-89129,PrimeMaterials GmbH,1,473
944962,Indoor Plant Pot Lite,Home & Garden,Berlin,L,2.86,399.99,140.8,SKU-11673,EcoSource LLC,1,1396
267414,Wireless Headphones Plus,Electronics,Shanghai,XS,6.57,299.99,127.95,SKU-21407,FastShip Ltd,1,1333
832052,4K Smart TV Ultra,Electronics,Shenzhen,L,4.1,149.99,69.78,SKU-10332,QualityGoods Corp,1,1930
543143,"Tablet 10"" Standard",Electronics,Bangalore,L,1.88,89.99,45.24,SKU-78757,FastShip Ltd,1,170
456778,Yoga Mat Lite,Sports,Ho Chi Minh City,L,4.48,149.99,60.96,SKU-61613,FastShip Ltd,1,725
391369,Coconut Water Basic,Grocery,Tokyo,L,2.28,29.99,18.47,SKU-22746,QualityGoods Corp,1,1912
263032,spice rack mini,Home & Garden,Guangzhou,XXL,0.53,34.99,11.78,SKU-60393,,1,722
325772,Remote Control Car Premium,Toys & Games,CHENNAI,M,3.17,499.99,153.09,SKU-42779,EcoSource LLC,1,1927
900581,Card Game Max,Toys & Games,Detroit,L,2.03,89.99,30.82,SKU-70328,ValueChain Partners,1,1018
452944,Gym Gloves Premium,Sports,Berlin,XL,0.9,14.99,6.76,SKU-89377,,1,1686
207175,SSD 1TB Elite,Electronics,Berlin,One Size,6.92,74.99,35.57,SKU-12431,PrimeMaterials GmbH,1,239
197251,Nail Polish Set Elite,Beauty,Mexico City,XL,2.84,124.99,31.16,SKU-50876,Global Supply Co.,1,1656
498382,Spice Rack Elite,Home & Garden,Istanbul,N/A,1.57,14.99,5.44,SKU-92423,PrimeMaterials GmbH,1,820
201414,Cast Iron Skillet Standard,Home & Garden,Chicago,One Size,4.99,149.99,53.42,SKU-96333,PrimeMaterials GmbH,1,1750
476417,Motor Oil 5W-30 Standard,Automotive,Berlin,M,9.84,299.99,168.55,SKU-89008,Global Supply Co.,1,807
988662,,Beauty,Los Angeles,L,1.14,59.99,13.76,SKU-84801,FastShip Ltd,0,1800
460663,Wireless Headphones Max,Electronics,Bangalore,,0.85,49.99,25.12,SKU-21739,FastShip Ltd,1,1175
733052,Gaming Mouse Premium,Electronics,Guangzhou,8,3.3,49.99,23.77,SKU-54908,QualityGoods Corp,0,1867
377370,Throw Blanket Pro,Home & Garden,Shanghai,XS,2.52,39.99,12.43,SKU-73072,QualityGoods Corp,1,75
946335,Travel Journal Premium,Books,Ho Chi Minh City,XXL,2.46,249.99,96.15,SKU-39382,PrimeMaterials GmbH,1,735
145561,Blush Palette Mini,Beauty,Berlin,L,2.32,499.99,122.61,SKU-79509,techparts asia,1,641
865179,Play-Doh Set Lite,Toys & Games,Berlin,,4.0,299.99,91.86,SKU-96701,Global Supply Co.,1,1274
581741,Oxford Shirt Ultra,Apparel,Detroit,M,1.16,9.99,3.05,SKU-13507,TechParts Asia,1,837
662275,Wireless Headphones Mini,Electronics,Detroit,12,0.67,124.99,52.19,SKU-59993,QualityGoods Corp,No,259
230889,Oxford Shirt Elite,Apparel,Shanghai,M,3.98,249.99,74.05,SKU-69531,TechParts Asia,1,316
496922,Webcam HD Standard,Electronics,Istanbul,M,1.52,34.99,15.46,SKU-90359,QualityGoods Corp,0,716
182627,Indoor Plant Pot Pro,Home & Garden,Mexico City,XXL,0.98,199.99,70.45,SKU-85011,QualityGoods Corp,1,1149
678856,USB-C Hub Pro,Electronics,Shanghai,M,1.11,99.99,49.67,SKU-59924,FastShip Ltd,1,703
407419,Yoga Pants Standard,Apparel,Ho Chi Minh City,L,1.73,49.99,16.26,SKU-70527,QualityGoods Corp,0,547
969693,Remote Control Car Lite,Toys & Games,Tokyo,M,2.83,9.99,3.89,SKU-97334,QualityGoods Corp,1,1576
759176,Indoor Plant Pot Plus,Home & Garden,Shenzhen,M,0.33,89.99,32.18,SKU-40299,Global Supply Co.,1,1382
748564,Gaming Mouse Max,Electronics,Bangalore,L,7.51,199.99,93.12,SKU-60738,PrimeMaterials GmbH,1,165
479201,Action Figure Plus,Toys & Games,Chennai,L,0.58,9.99,3.42,SKU-69256,EcoSource LLC,TRUE,337
705397,foam roller mini,Sports,Istanbul,XL,1.47,249.99,106.51,SKU-33790,MegaManufacture Inc,1,1678
301629,Graphic Tee Pro,Apparel,Tokyo,S,0.64,39.99,10.93,SKU-14793,MegaManufacture Inc,1,815
838797,USB-C Hub Standard,Electronics,Mexico City,XL,4.02,9.99,4.46,SKU-86550,ValueChain Partners,0,1376
172933,Water Guns Lite,Toys & Games,Bangalore,N/A,4.2,14.99,5.58,SKU-98550,ValueChain Partners,1,1769
148050,Dumbbell Set Mini,Sports,Shenzhen,L,3.11,49.99,21.66,SKU-61695,EcoSource LLC,Yes,413
793384,Language Workbook Plus,Books,Bangalore,M,1.21,89.99,33.27,SKU-25488,Global Supply Co.,Yes,1763
338968,Cast Iron Skillet Standard,Home & Garden,Warsaw,M,4.37,124.99,39.57,SKU-15905,PrimeMaterials GmbH,Yes,702
910620,Bluetooth Speaker Lite,Electronics,Chennai,L,5.48,29.99,12.64,SKU-33753,MegaManufacture Inc,No,1048
403445,Cycling Helmet Plus,Sports,Warsaw,,3.79,399.99,180.16,SKU-35384,MegaManufacture Inc,1,771
183667,USB-C Hub Premium,Electronics,Guangzhou,M,4.39,499.99,199.96,SKU-70040,Global Supply Co.,Yes,1553
996865,Nail Polish Set Ultra,Beauty,guangzhou,XXL,3.14,19.99,5.68,SKU-33750,Global Supply Co.,1,1964
344098,Beanie Hat Pro,Apparel,Tokyo,L,2.56,9.99,3.44,SKU-66668,TechParts Asia,FALSE,631
205907,Spice Rack Premium,Home & Garden,Istanbul,N/A,1.93,29.99,11.39,SKU-50049,TechParts Asia,1,1525
498591,Leather Belt Basic,Apparel,Los Angeles,XXL,1.2,499.99,161.72,SKU-39323,MegaManufacture Inc,1,1376
391476,Stuffed Animal Mini,Toys & Games,Shanghai,S,2.83,59.99,23.85,SKU-98424,EcoSource LLC,1,1619
575435,Science Kit Premium,Toys & Games,Berlin,XXL,4.46,39.99,13.12,SKU-32734,TechParts Asia,0,489
766563,Smart Watch Basic,Electronics,Warsaw,M,4.3,99.99,39.99,SKU-17488,ValueChain Partners,1,724
974628,Fitness Tracker Pro,Sports,Shanghai,L,4.61,149.99,65.81,SKU-57688,Global Supply Co.,1,448
482554,Motor Oil 5W-30 Plus,Automotive,Seoul,L,11.56,249.99,112.66,SKU-76704,EcoSource LLC,1,1505
270555,Wireless Headphones Max,Electronics,Warsaw,6,1.81,124.99,48.57,SKU-60718,MegaManufacture Inc,0,328
488162,,Toys & Games,guangzhou,M,3.28,399.99,127.25,SKU-84398,PrimeMaterials GmbH,Yes,576
472528,LED Desk Lamp Standard,Home & Garden,Warsaw,XL,3.39,74.99,25.76,SKU-84174,TechParts Asia,1,366
319684,Webcam HD Premium,Electronics,Chennai,XL,4.61,34.99,15.72,SKU-67518,FastShip Ltd,Yes,1562
802729,Granola Mix Standard,Grocery,Los Angeles,S,1.95,19.99,10.42,SKU-30739,MegaManufacture Inc,1,1742
379946,Dumbbell Set Plus,Sports,Warsaw,N/A,0.8,24.99,9.83,SKU-44990,FastShip Ltd,1,1111
835911,Facial Cleanser Premium,Beauty,Seoul,XXL,4.9,9.99,2.58,SKU-57588,TechParts Asia,1,955
816751,Graphic Tee Premium,Apparel,Bangalore,XXL,0.32,89.99,30.49,SKU-91323,TechParts Asia,1,954
779514,Smart Watch Standard,Electronics,Warsaw,M,6.03,299.99,123.95,SKU-71469,PrimeMaterials GmbH,0,408
174870,Foam Roller Lite,Sports,Shanghai,L,2.18,29.99,10.96,SKU-23573,ValueChain Partners,1,1953
738720,Puffer Jacket Max,Apparel,Shenzhen,M,1.86,99.99,29.0,SKU-97106,PrimeMaterials GmbH,1,1259
765822,Water Guns Standard,Toys & Games,Ho Chi Minh City,XL,3.93,39.99,16.03,SKU-94620,Global Supply Co.,TRUE,49
279451,Leather Belt Ultra,Apparel,Shanghai,XL,3.75,24.99,7.13,SKU-57714,EcoSource LLC,1,182
660086,wireless headphones ultra,Electronics,,M,3.81,249.99,97.1,SKU-57436,FastShip Ltd,1,393
864544,Foam Roller Max,Sports,Tokyo,XL,2.04,199.99,74.37,SKU-99394,ValueChain Partners,1,989
356702,Dark Chocolate Bar Elite,Grocery,Berlin,XL,0.7,149.99,91.57,SKU-68186,QualityGoods Corp,1,876
271339,Leather Belt Mini,Apparel,Istanbul,S,4.47,14.99,4.38,SKU-91010,PrimeMaterials GmbH,1,1768
584714,Oxford Shirt Mini,Apparel,Los Angeles,S,4.97,74.99,24.35,SKU-35620,PrimeMaterials GmbH,No,185
497887,Throw Blanket Elite,Home & Garden,Bangalore,M,4.85,14.99,5.42,SKU-30572,TechParts Asia,Yes,88
383060,Spice Rack Plus,Home & Garden,Chicago,L,3.62,29.99,10.68,SKU-74080,MegaManufacture Inc,No,1922
771088,Organic Coffee Beans Premium,Grocery,Berlin,M,0.8,124.99,71.01,SKU-71198,MegaManufacture Inc,1,1014
821590,SSD 1TB Basic,Electronics,Shenzhen,N/A,4.21,74.99,34.27,SKU-10932,Global Supply Co.,No,85
684004,Car Air Freshener Lite,Automotive,Detroit,7,10.36,124.99,64.66,SKU-25537,EcoSource LLC,1,1639
330283,Air Purifier Lite,Home & Garden,Los Angeles,M,4.22,149.99,47.44,SKU-25156,techparts asia,1,1645
817870,Oxford Shirt Ultra,Apparel,Los Angeles,N/A,3.76,399.99,128.49,SKU-99298,ValueChain Partners,1,119
440035,"TABLET 10"" STANDARD",Electronics,Guangzhou,M,2.71,49.99,21.77,SKU-53993,TechParts Asia,1,87
983794,Gym Gloves Mini,Sports,Warsaw,10,3.24,29.99,12.87,SKU-50403,QualityGoods Corp,1,1079
905635,Blush Palette Plus,Beauty,Istanbul,M,1.65,99.99,22.58,SKU-98844,TechParts Asia,1,1178
913694,Language Workbook Premium,Books,Chennai,8,2.31,249.99,104.69,SKU-91078,QualityGoods Corp,1,1113
158655,Webcam HD Standard,Electronics,bangalore,S,2.5,499.99,193.06,SKU-22566,Global Supply Co.,Yes,911
340174,SSD 1TB Plus,Electronics,Warsaw,M,2.59,39.99,16.15,SKU-71150,TechParts Asia,1,1317
961722,Yoga Mat Max,Sports,Mexico City,XXL,1.25,24.99,11.17,SKU-98595,TechParts Asia,1,360
133659,Smart Watch Premium,Electronics,Detroit,M,6.73,499.99,222.39,SKU-75422,ValueChain Partners,Yes,1972
944151,Gaming Mouse Ultra,Electronics,Seoul,M,7.75,74.99,33.83,SKU-36948,MegaManufacture Inc,1,707
430776,Organic Coffee Beans Standard,Grocery,Detroit,M,0.65,49.99,33.66,SKU-91965,QualityGoods Corp,1,534
520651,Stainless Steel Pan Standard,Home & Garden,Tokyo,L,2.87,249.99,87.1,SKU-33971,QualityGoods Corp,1,594
380746,WIRELESS HEADPHONES MINI,Electronics,Berlin,XXL,6.82,24.99,11.77,SKU-64225,QualityGoods Corp,1,695
169403,Wool Blazer Elite,Apparel,Shanghai,9,0.6,74.99,20.62,SKU-10603,FastShip Ltd,1,1742
321231,Olive Oil Extra Virgin Pro,Grocery,Shenzhen,XXL,0.12,499.99,262.34,SKU-86839,EcoSource LLC,1,734
694731,Facial Cleanser Pro,Beauty,Warsaw,L,3.86,249.99,59.75,SKU-65575,PrimeMaterials GmbH,1,1111
852787,Action Figure Mini,Toys & Games,Istanbul,7,1.91,99.99,38.13,SKU-76581,Global Supply Co.,1,970
429963,Nail Polish Set Premium,Beauty,Guangzhou,XXL,0.91,14.99,3.69,SKU-54607,QualityGoods Corp,1,52
322955,Hair Mask Ultra,Beauty,Istanbul,XXL,2.57,89.99,20.26,SKU-63254,QualityGoods Corp,TRUE,1737
787277,"Tablet 10"" Pro",Electronics,Warsaw,XXL,6.31,124.99,57.01,SKU-76635,FastShip Ltd,FALSE,1735
623481,Self-Help Bestseller Lite,Books,Shanghai,XL,0.32,19.99,7.43,SKU-82328,FastShip Ltd,No,1730
514850,Dark Chocolate Bar Basic,Grocery,Ho Chi Minh City,M,0.88,299.99,204.11,SKU-80259,MegaManufacture Inc,1,402
774079,Smart Watch Plus,Electronics,Guangzhou,N/A,6.46,74.99,34.53,SKU-93997,EcoSource LLC,Yes,1539
581141,Olive Oil Extra Virgin Max,Grocery,Shenzhen,S,1.79,49.99,34.34,SKU-82128,ValueChain Partners,1,1948
249811,Cotton Bath Towel Basic,Home & Garden,Los Angeles,XS,0.27,34.99,10.57,SKU-65063,TechParts Asia,FALSE,1964
377746,Pearl Necklace Standard,Jewelry,LOS ANGELES,XXL,1.48,149.99,25.6,SKU-18236,Global Supply Co.,1,872
246413,Nail Polish Set Ultra,Beauty,Warsaw,M,3.23,499.99,124.14,SKU-14578,PrimeMaterials GmbH,1,1556
358607,Rice Cakes Mini,Grocery,Shenzhen,XL,0.7,9.99,6.64,SKU-78648,PrimeMaterials GmbH,No,821
881177,Running Shorts Plus,Apparel,Shenzhen,L,4.15,89.99,27.19,SKU-54960,ValueChain Partners,FALSE,1267
688637,Protein Shaker Premium,Sports,Tokyo,S,3.42,149.99,66.77,SKU-98283,FastShip Ltd,1,637
665158,Dumbbell Set Plus,Sports,Seoul,M,2.41,124.99,44.45,SKU-89292,PrimeMaterials GmbH,1,876
375504,Running Shorts Plus,Apparel,Bangalore,XL,4.59,99.99,31.79,SKU-72165,ECOSOURCE LLC,1,712
883300,Leather Belt Premium,Apparel,Bangalore,XL,2.02,34.99,11.0,SKU-36275,ValueChain Partners,Yes,51
712982,Facial Cleanser Mini,Beauty,Shenzhen,S,1.25,24.99,6.33,SKU-55451,QualityGoods Corp,1,1266
549245,Coconut Water Elite,Grocery,Shenzhen,L,0.22,59.99,34.97,SKU-75661,ValueChain Partners,1,401
711878,Blush Palette Premium,Beauty,Guangzhou,N/A,2.91,39.99,10.44,SKU-59611,MegaManufacture Inc,1,1746
518801,4K Smart TV Max,Electronics,Los Angeles,XL,2.39,39.99,18.27,SKU-72763,EcoSource LLC,FALSE,1680
479580,Nail Polish Set Plus,Beauty,Ho Chi Minh City,L,1.78,124.99,29.12,SKU-87484,PrimeMaterials GmbH,1,1579
329974,Mechanical Keyboard Lite,Electronics,Ho Chi Minh City,XS,5.83,14.99,5.95,SKU-48449,Global Supply Co.,0,618
245051,Charm Pendant Plus,Jewelry,,One Size,1.53,14.99,2.9,SKU-37857,EcoSource LLC,No,663
634277,Smart Watch Max,Electronics,Berlin,N/A,3.86,199.99,90.33,SKU-35499,Global Supply Co.,1,1136
617488,Throw Blanket Plus,Home & Garden,Chennai,S,3.29,249.99,87.72,SKU-63834,PrimeMaterials GmbH,1,901
195325,Action Figure Mini,Toys & Games,Istanbul,S,2.26,14.99,5.13,SKU-45888,PrimeMaterials GmbH,Yes,222
892495,Bluetooth Speaker Premium,Electronics,Detroit,XL,1.36,29.99,12.8,SKU-45591,TechParts Asia,TRUE,666
149405,Indoor Plant Pot Mini,Home & Garden,Istanbul,L,1.89,14.99,5.01,SKU-75035,TechParts Asia,1,1454
214975,Air Purifier Elite,Home & Garden,Guangzhou,XL,1.49,39.99,13.01,SKU-16692,Global Supply Co.,0,173
260265,Stuffed Animal Max,Toys & Games,Mexico City,XXL,0.52,29.99,10.75,SKU-32048,MegaManufacture Inc,Yes,1370
757924,Card Game Premium,Toys & Games,Chennai,M,1.41,89.99,34.8,SKU-60158,,1,346
267753,Stainless Steel Pan Lite,Home & Garden,Istanbul,M,1.67,49.99,19.49,SKU-36314,ecosource llc,1,1698
930555,,Apparel,Berlin,L,2.78,299.99,103.33,SKU-29710,QualityGoods Corp,1,184
813536,Matte Lipstick Standard,Beauty,Warsaw,S,3.89,149.99,32.87,SKU-74225,TechParts Asia,0,395
542666,,Electronics,Guangzhou,S,3.92,29.99,12.34,SKU-61853,PrimeMaterials GmbH,0,1308
725380,Protein Shaker Pro,Sports,Seoul,M,4.73,24.99,10.69,SKU-74591,MegaManufacture Inc,1,312
166613,Steering Wheel Cover Standard,Automotive,Mexico City,L,8.79,19.99,10.43,SKU-96226,EcoSource LLC,1,1221
503457,Mechanical Keyboard Mini,Electronics,Guangzhou,XL,4.96,39.99,16.02,SKU-65613,QualityGoods Corp,1,1590
500156,Leather Belt Max,Apparel,Chennai,L,4.39,89.99,28.06,SKU-55960,ValueChain Partners,1,1956
724834,Vitamin C Serum Premium,Beauty,CHICAGO,XS,3.12,9.99,2.43,SKU-87925,ValueChain Partners,1,1094
590785,USB-C Hub Ultra,Electronics,Warsaw,XXL,2.7,399.99,204.67,SKU-61604,FastShip Ltd,1,709
654816,Cotton Bath Towel Basic,Home & Garden,Ho Chi Minh City,L,0.73,9.99,3.87,SKU-44581,Global Supply Co.,TRUE,564
363626,Running Shorts Pro,Apparel,Shenzhen,,3.64,249.99,65.4,SKU-53880,TechParts Asia,1,1490
680099,Jump Rope Basic,Sports,Ho Chi Minh City,L,3.04,124.99,43.85,SKU-77927,QualityGoods Corp,No,1549
112038,Rice Cakes Lite,Grocery,Chicago,XL,0.52,34.99,20.47,SKU-68254,ValueChain Partners,1,1521
813328,Fitness Tracker Premium,Sports,Chicago,XS,3.5,34.99,11.93,SKU-95959,PrimeMaterials GmbH,1,1556
855731,4K Smart TV Lite,Electronics,Detroit,N/A,2.34,149.99,59.28,SKU-60757,Global Supply Co.,1,461
220116,Throw Blanket Premium,Home & Garden,Warsaw,XXL,2.67,29.99,11.86,SKU-60464,QualityGoods Corp,1,871
814825,Water Guns Plus,Toys & Games,Berlin,L,2.05,49.99,19.03,SKU-91136,MegaManufacture Inc,0,1549
663054,Organic Coffee Beans Elite,Grocery,Istanbul,XXL,0.92,399.99,252.43,SKU-43984,EcoSource LLC,1,820
887352,Spice Rack Max,Home & Garden,Berlin,S,4.4,34.99,13.46,SKU-86463,PrimeMaterials GmbH,FALSE,114
379786,Science Kit Elite,Toys & Games,Ho Chi Minh City,N/A,4.22,29.99,9.71,SKU-92970,PrimeMaterials GmbH,1,863
905934,Puffer Jacket Pro,Apparel,Los Angeles,L,3.95,74.99,24.02,SKU-44744,FastShip Ltd,1,1753
772097,Cast Iron Skillet Max,Home & Garden,Istanbul,XS,0.17,399.99,144.85,SKU-68014,MegaManufacture Inc,1,382
456699,Eyebrow Pencil Mini,Beauty,Chennai,One Size,4.57,124.99,34.52,SKU-20263,MegaManufacture Inc,1,1218
216970,Granola Mix Lite,Grocery,Ho Chi Minh City,L,2.06,34.99,19.63,SKU-55727,QualityGoods Corp,1,1230
407757,USB-C Hub Basic,Electronics,Los Angeles,S,2.01,24.99,12.14,SKU-56344,PrimeMaterials GmbH,0,1876
555884,Green Tea Pack Lite,Grocery,Chennai,XS,1.37,124.99,82.93,SKU-92360,QualityGoods Corp,0,1885
265840,Graphic Tee Max,Apparel,Shenzhen,L,2.25,399.99,121.76,SKU-41275,EcoSource LLC,1,1455
575763,Gaming Mouse Lite,Electronics,Istanbul,M,7.94,124.99,54.79,SKU-46054,Global Supply Co.,No,1528
103402,LED Desk Lamp Plus,Home & Garden,Los Angeles,M,3.24,124.99,49.63,SKU-68111,TechParts Asia,1,1485
857168,Graphic Tee Premium,Apparel,Tokyo,XS,2.14,39.99,10.81,SKU-43127,PrimeMaterials GmbH,0,110
854639,Microfiber Cloth Set Mini,Automotive,Guangzhou,L,6.78,29.99,12.91,SKU-51905,ValueChain Partners,0,1463
376183,Setting Spray Standard,Beauty,Warsaw,M,2.79,19.99,4.52,SKU-94905,ValueChain Partners,1,678
624902,Board Game Classic Elite,Toys & Games,Seoul,XL,1.45,34.99,12.92,SKU-14728,QualityGoods Corp,1,612
898975,Play-Doh Set Ultra,Toys & Games,Mexico City,XL,3.27,49.99,19.01,SKU-93692,FastShip Ltd,1,1192
287330,USB-C Hub Pro,Electronics,Chennai,M,7.11,99.99,47.92,SKU-27001,EcoSource LLC,1,431
632342,Organic Coffee Beans Premium,Grocery,DETROIT,L,2.23,14.99,8.78,SKU-43185,ValueChain Partners,1,1691
211579,Dumbbell Set Plus,Sports,Istanbul,S,0.12,89.99,41.05,SKU-13082,QualityGoods Corp,1,1281
755674,4K Smart TV Basic,Electronics,Istanbul,XL,6.16,19.99,8.85,SKU-57781,FastShip Ltd,1,789
412942,Dash Cam Pro,Automotive,Bangalore,XL,11.67,74.99,42.91,SKU-41632,EcoSource LLC,1,1478
982554,Protein Shaker Plus,Sports,Warsaw,L,1.59,49.99,22.5,SKU-68023,EcoSource LLC,1,1771
769987,Green Tea Pack Mini,Grocery,Los Angeles,XXL,2.26,49.99,29.16,SKU-74900,FastShip Ltd,Yes,1663
632323,"Tablet 10"" Standard",Electronics,Los Angeles,L,2.91,149.99,60.63,SKU-32236,TechParts Asia,1,351
738551,Floral Sundress Premium,Apparel,Ho Chi Minh City,L,4.83,24.99,6.57,SKU-88710,PrimeMaterials GmbH,1,122
308573,Blush Palette Ultra,Beauty,Berlin,M,4.18,199.99,50.47,SKU-94863,MegaManufacture Inc,0,700
260263,Leather Belt Pro,Apparel,Detroit,S,3.61,74.99,24.27,SKU-10728,EcoSource LLC,1,847
492077,"Tablet 10"" Plus",Electronics,Detroit,L,3.88,399.99,162.5,SKU-83289,PrimeMaterials GmbH,1,1315
899550,,Beauty,Bangalore,L,2.02,199.99,47.27,SKU-45768,ValueChain Partners,1,961
269396,Mechanical Keyboard Max,Electronics,Shenzhen,XL,7.96,499.99,233.81,SKU-99027,MegaManufacture Inc,TRUE,336
665579,Yoga Mat Elite,Sports,Seoul,XL,1.86,19.99,7.9,SKU-78710,PrimeMaterials GmbH,1,1840
916449,Smart Watch Standard,Electronics,Seoul,S,5.04,14.99,6.96,SKU-90103,PrimeMaterials GmbH,1,770
656116,Ankle Chain Max,Jewelry,Warsaw,M,1.98,124.99,26.32,SKU-62214,FastShip Ltd,Yes,278
100599,Yoga Pants Plus,Apparel,Los Angeles,S,2.36,124.99,36.15,SKU-51264,FastShip Ltd,1,1978
728038,Bluetooth Speaker Max,Electronics,Shenzhen,S,5.66,59.99,29.31,SKU-39752,PrimeMaterials GmbH,1,868
439902,Spice Rack Mini,Home & Garden,Guangzhou,M,1.44,19.99,7.42,SKU-94106,PrimeMaterials GmbH,Yes,1254
612340,Car Air Freshener Pro,Automotive,Chennai,N/A,1.55,14.99,7.92,SKU-91755,TechParts Asia,1,1691
120422,Hair Mask Premium,Beauty,Guangzhou,L,3.11,149.99,33.55,SKU-43908,MegaManufacture Inc,TRUE,108
217301,Poetry Collection Mini,Books,Los Angeles,N/A,2.3,249.99,99.22,SKU-53616,MegaManufacture Inc,1,1896
480612,ssd 1tb standard,Electronics,Shanghai,N/A,1.93,149.99,69.06,SKU-13537,FastShip Ltd,TRUE,839
972064,Gym Gloves Basic,Sports,MEXICO CITY,11,2.78,24.99,9.18,SKU-41067,FastShip Ltd,0,1568
945964,Puffer Jacket Plus,Apparel,Bangalore,M,4.01,14.99,4.85,SKU-67793,QualityGoods Corp,1,1149
422451,Wool Blazer Ultra,Apparel,Detroit,M,3.78,249.99,66.47,SKU-55796,FastShip Ltd,1,579
